Company,TypeName,Inches,Ram_GB,Weight_kg,cpu_brand,cpu_ghz,gpu_brand,storage_type,storage_gb,res_width,res_height,ppi,is_touchscreen,is_ips,os_clean,Price_euros,log_price,ram_tier,storage_tier,cpu_perf_score,is_premium,weight_category
Apple,Ultrabook,13.3,8,1.37,Intel,2.3,Intel,SSD,128.0,2560.0,1600.0,226.98,0,1,macOS,1339.69,7.200939685789514,Mid (8GB),Low (≤128GB),2.3,1,Ultralight
Apple,Ultrabook,13.3,8,1.34,Intel,1.8,Intel,SSD,128.0,1440.0,900.0,127.68,0,0,macOS,898.94,6.802328094435323,Mid (8GB),Low (≤128GB),1.8,1,Ultralight
HP,Notebook,15.6,8,1.86,Intel,2.5,Intel,SSD,256.0,1920.0,1080.0,141.21,0,0,No OS,575.0,6.3561076606958915,Mid (8GB),Mid (256GB),2.5,0,Light
Apple,Ultrabook,15.4,16,1.83,Intel,2.7,AMD,SSD,512.0,2880.0,1800.0,220.53,0,1,macOS,2537.45,7.839308937522205,High (16GB),High (512GB),2.7,1,Light
Apple,Ultrabook,13.3,8,1.37,Intel,3.1,Intel,SSD,256.0,2560.0,1600.0,226.98,0,1,macOS,1803.6,7.4980942395604,Mid (8GB),Mid (256GB),3.1,1,Ultralight
Acer,Notebook,15.6,4,2.1,AMD,2.5,AMD,HDD,500.0,1366.0,768.0,100.45,0,0,Windows,400.0,5.993961427306569,Low (≤4GB),High (512GB),2.25,0,Standard
Apple,Ultrabook,15.4,16,2.04,Intel,2.2,Intel,SSD,256.0,2880.0,1800.0,220.53,0,1,macOS,2139.97,7.669014276347654,High (16GB),Mid (256GB),2.2,1,Standard
Apple,Ultrabook,13.3,8,1.34,Intel,1.8,Intel,SSD,256.0,1440.0,900.0,127.68,0,0,macOS,1158.7,7.055916629962658,Mid (8GB),Mid (256GB),1.8,1,Ultralight
Asus,Ultrabook,14.0,16,1.3,Intel,1.8,Nvidia,SSD,512.0,1920.0,1080.0,157.35,0,0,Windows,1495.0,7.310550158534422,High (16GB),High (512GB),1.8,1,Ultralight
Acer,Ultrabook,14.0,8,1.6,Intel,1.6,Intel,SSD,256.0,1920.0,1080.0,157.35,0,1,Windows,770.0,6.647688373563329,Mid (8GB),Mid (256GB),1.6,1,Light
HP,Notebook,15.6,4,1.86,Intel,2.5,Intel,HDD,500.0,1366.0,768.0,100.45,0,0,No OS,393.9,5.978632568292603,Low (≤4GB),High (512GB),2.5,0,Light
